lincs_id	chembl_id
BRD-A15914070	CHEMBL454280
BRD-A15914070	CHEMBL897071
BRD-A16311756	CHEMBL1206
BRD-A16311756	CHEMBL818964
BRD-A16332958	CHEMBL1373
BRD-A16332958	CHEMBL826775
BRD-A16444946	CHEMBL404271
BRD-A16444946	CHEMBL905179
BRD-A16581344	CHEMBL1708352
BRD-A16581344	CHEMBL2788066
BRD-A16665823	CHEMBL1295
BRD-A16694057	CHEMBL258558
BRD-A16694057	CHEMBL916380
BRD-A16746338	CHEMBL310129
BRD-A16746338	CHEMBL736953
BRD-A16820783	CHEMBL562051
BRD-A16820783	CHEMBL953966
BRD-A17065207	CHEMBL1502250
BRD-A17065207	CHEMBL3074151
BRD-A17081056	CHEMBL764920
BRD-A17081056	CHEMBL95456
BRD-A17411484	CHEMBL1316
BRD-A17428743	CHEMBL1255834
BRD-A17428743	CHEMBL1660604
BRD-A17448384	CHEMBL1881863
BRD-A17448384	CHEMBL3012186
BRD-A17453586	CHEMBL1124498
BRD-A17453586	CHEMBL12152
BRD-A17453586	CHEMBL4886
BRD-A17453586	CHEMBL623741
BRD-A17462676	CHEMBL521589
BRD-A17462676	CHEMBL885830
BRD-A17655518	CHEMBL1125388
BRD-A17655518	CHEMBL3163
BRD-A17655518	CHEMBL521
BRD-A17655518	CHEMBL623852
BRD-A17664363	CHEMBL262079
BRD-A17664363	CHEMBL918930
BRD-A17718497	CHEMBL1894510
BRD-A17718497	CHEMBL3033809
BRD-A17745711	CHEMBL1141902
BRD-A17745711	CHEMBL275854
BRD-A17745711	CHEMBL633717
BRD-A17757596	CHEMBL1331194
BRD-A17757596	CHEMBL1806134
BRD-A17846016	CHEMBL1153223
BRD-A17846016	CHEMBL153
BRD-A17846016	CHEMBL662801
BRD-A17883755	CHEMBL675359
BRD-A17883755	CHEMBL848
BRD-A18043272	CHEMBL1158526
BRD-A18043272	CHEMBL660832
BRD-A18043272	CHEMBL797
BRD-A18246003	CHEMBL1867438
BRD-A18246003	CHEMBL2977725
BRD-A18279961	CHEMBL1085588
BRD-A18279961	CHEMBL1110107
BRD-A18411371	CHEMBL1337592
BRD-A18411371	CHEMBL1817197
BRD-A18497530	CHEMBL3879885
BRD-A18497530	CHEMBL613431
BRD-A18497530	CHEMBL63388
BRD-A18497530	CHEMBL712125
BRD-A18579359	CHEMBL1476463
BRD-A18579359	CHEMBL3068475
BRD-A18605525	CHEMBL144673
BRD-A18696154	CHEMBL10316
BRD-A18696154	CHEMBL1147520
BRD-A18696154	CHEMBL618844
BRD-A18725729	CHEMBL1351755
BRD-A18725729	CHEMBL1913323
BRD-A18763547	CHEMBL343732
BRD-A18763547	CHEMBL845894
BRD-A18795974	CHEMBL1221214
BRD-A18795974	CHEMBL285755
BRD-A18795974	CHEMBL660447
BRD-A18929998	CHEMBL1147609
BRD-A18929998	CHEMBL623508
BRD-A18929998	CHEMBL78
BRD-A18932057	CHEMBL1528876
BRD-A18932057	CHEMBL2350739
BRD-A19037878	CHEMBL1140026
BRD-A19037878	CHEMBL26159
BRD-A19037878	CHEMBL650290
BRD-A19053259	CHEMBL2219893
BRD-A19053259	CHEMBL3377529
BRD-A19134330	CHEMBL1434752
BRD-A19134330	CHEMBL2166518
BRD-A19195498	CHEMBL644
BRD-A19195498	CHEMBL644290
BRD-A19232309	CHEMBL1157246
BRD-A19232309	CHEMBL286398
BRD-A19232309	CHEMBL653535
BRD-A19248578	CHEMBL1865009
BRD-A19248578	CHEMBL2972654
BRD-A19374631	CHEMBL1367774
BRD-A19374631	CHEMBL1930957
BRD-A19633847	CHEMBL730659
BRD-A19633847	CHEMBL75880
BRD-A19661776	CHEMBL1152103
BRD-A19661776	CHEMBL3307587
BRD-A19661776	CHEMBL615443
BRD-A19661776	CHEMBL6437
BRD-A19736161	CHEMBL1131767
BRD-A19736161	CHEMBL46
BRD-A19736161	CHEMBL882925
BRD-A19918940	CHEMBL1414353
BRD-A19918940	CHEMBL2075747
BRD-A19928752	CHEMBL1599992
BRD-A19928752	CHEMBL2885916
BRD-A19952358	CHEMBL1124579
BRD-A19952358	CHEMBL12131
BRD-A19952358	CHEMBL4706
BRD-A19952358	CHEMBL626062
BRD-A20119038	CHEMBL1127946
BRD-A20119038	CHEMBL267936
BRD-A20119038	CHEMBL3307829
BRD-A20119038	CHEMBL615935
BRD-A20239487	CHEMBL1128800
BRD-A20239487	CHEMBL24
BRD-A20239487	CHEMBL3308404
BRD-A20239487	CHEMBL3987918
BRD-A20239487	CHEMBL616619
BRD-A20348246	CHEMBL1200714
BRD-A20348246	CHEMBL1273860
BRD-A20589515	CHEMBL2364130
BRD-A20589515	CHEMBL4052784
BRD-A20589515	CHEMBL66105
BRD-A20589515	CHEMBL713702
BRD-A20697603	CHEMBL410968
BRD-A20846977	CHEMBL1887619
BRD-A20846977	CHEMBL3005375
BRD-A20862232	CHEMBL1196096
BRD-A20862232	CHEMBL1265028
BRD-A20968261	CHEMBL198368
BRD-A20968261	CHEMBL861741
BRD-A21329147	CHEMBL1122195
BRD-A21329147	CHEMBL268697
BRD-A21329147	CHEMBL627029
BRD-A21481508	CHEMBL1863971
BRD-A21481508	CHEMBL2931882
BRD-A21584801	CHEMBL2135161
BRD-A21812217	CHEMBL1590257
BRD-A21812217	CHEMBL2889800
BRD-A21858158	CHEMBL3792313
BRD-A21858158	CHEMBL710250
BRD-A21858158	CHEMBL976
BRD-A22032524	CHEMBL1491
BRD-A22101059	CHEMBL167150
BRD-A22152765	CHEMBL1201354
BRD-A22152765	CHEMBL1273287
BRD-A22256192	CHEMBL611
BRD-A22256192	CHEMBL642762
BRD-A22305049	CHEMBL400599
BRD-A22380646	CHEMBL1502
BRD-A22514244	CHEMBL1478888
BRD-A22514244	CHEMBL3061265
BRD-A22684332	CHEMBL160519
BRD-A22707317	CHEMBL1256667
BRD-A22707317	CHEMBL1661541
BRD-A22713669	CHEMBL3893028
BRD-A22769835	CHEMBL1515447
BRD-A22769835	CHEMBL2327296
BRD-A22897758	CHEMBL1159
BRD-A22897758	CHEMBL793662
BRD-A23034328	CHEMBL1621082
BRD-A23034328	CHEMBL2819887
BRD-A23072235	CHEMBL1193
BRD-A23072235	CHEMBL813321
BRD-A23226398	CHEMBL1602532
BRD-A23226398	CHEMBL2775450
BRD-A23359898	CHEMBL1419
BRD-A23683907	CHEMBL3397012
BRD-A23683907	CHEMBL57406
BRD-A23683907	CHEMBL699883
BRD-A23712469	CHEMBL1868381
BRD-A23712469	CHEMBL2973274
BRD-A23747351	CHEMBL380797
BRD-A24021119	CHEMBL1394624
BRD-A24021119	CHEMBL2032600
BRD-A24054354	CHEMBL1363249
BRD-A24054354	CHEMBL1918751
BRD-A24122750	CHEMBL312403
BRD-A24122750	CHEMBL733031
BRD-A24191444	CHEMBL1926490
BRD-A24191444	CHEMBL305187
BRD-A24191444	CHEMBL4007480
BRD-A24191444	CHEMBL715846
BRD-A24225650	CHEMBL1893636
BRD-A24225650	CHEMBL3032932
BRD-A24228527	CHEMBL1126341
BRD-A24228527	CHEMBL1985
BRD-A24228527	CHEMBL3307369
BRD-A24228527	CHEMBL4
BRD-A24228527	CHEMBL615369
BRD-A24381660	CHEMBL1399925
BRD-A24381660	CHEMBL2045411
BRD-A24397426	CHEMBL363449
BRD-A24429032	CHEMBL1515808
BRD-A24429032	CHEMBL2328917
BRD-A24514565	CHEMBL1464
BRD-A24543851	CHEMBL1132
BRD-A24543851	CHEMBL776828
BRD-A24817035	CHEMBL1407
BRD-A24951056	CHEMBL164642
BRD-A25004090	CHEMBL401989
BRD-A25004090	CHEMBL908538
BRD-A25037258	CHEMBL300226
BRD-A25037258	CHEMBL686506
BRD-A25067867	CHEMBL116590
BRD-A25067867	CHEMBL799526
BRD-A25170757	CHEMBL1310346
BRD-A25170757	CHEMBL1692623
BRD-A25234499	CHEMBL1138692
BRD-A25234499	CHEMBL488
BRD-A25234499	CHEMBL619453
BRD-A25337146	CHEMBL1616855
BRD-A25337146	CHEMBL2818711
BRD-A25416824	CHEMBL2356070
BRD-A25569250	CHEMBL361501
BRD-A25569250	CHEMBL874338
BRD-A25576662	CHEMBL1651906
BRD-A25576662	CHEMBL2858692
BRD-A25619068	CHEMBL1135183
BRD-A25619068	CHEMBL618943
BRD-A25619068	CHEMBL9298
BRD-A25775766	CHEMBL1529147
BRD-A25775766	CHEMBL2352814
BRD-A25829966	CHEMBL1435925
BRD-A25829966	CHEMBL2166093
BRD-A26032986	CHEMBL1474352
BRD-A26112980	CHEMBL416732
BRD-A26112980	CHEMBL634272
BRD-A26199074	CHEMBL1229168
BRD-A26199074	CHEMBL1634437
BRD-A26334849	CHEMBL631
BRD-A26334849	CHEMBL637649
BRD-A26384407	CHEMBL1055
BRD-A26384407	CHEMBL740876
BRD-A26595446	CHEMBL1584597
BRD-A26595446	CHEMBL2841871
BRD-A26711594	CHEMBL1484
BRD-A26777759	CHEMBL1898125
BRD-A26777759	CHEMBL3025343
BRD-A26845397	CHEMBL1147905
BRD-A26845397	CHEMBL27077
BRD-A26845397	CHEMBL653113
BRD-A26962727	CHEMBL1724547
BRD-A26962727	CHEMBL2833344
BRD-A27143604	CHEMBL334773
BRD-A27143604	CHEMBL840366
BRD-A27924917	CHEMBL1256573
BRD-A27924917	CHEMBL1661178
BRD-A28095882	CHEMBL330957
BRD-A28095882	CHEMBL796013
BRD-A28318179	CHEMBL106322
BRD-A28318179	CHEMBL785422
BRD-A28412351	CHEMBL1897954
BRD-A28412351	CHEMBL3029083
BRD-A28422058	CHEMBL1020036
BRD-A28422058	CHEMBL512824
BRD-A28422330	CHEMBL1370630
BRD-A28422330	CHEMBL1936836
BRD-A28856712	CHEMBL1266
BRD-A28940325	CHEMBL1054
BRD-A28940325	CHEMBL743306
BRD-A29009894	CHEMBL2141865
BRD-A29260609	CHEMBL642
BRD-A29260609	CHEMBL875671
BRD-A29289453	CHEMBL1395565
BRD-A29289453	CHEMBL2033215
BRD-A29349577	CHEMBL151445
BRD-A29426959	CHEMBL678143
BRD-A29426959	CHEMBL864
BRD-A29437505	CHEMBL1435599
BRD-A29437505	CHEMBL2167736
BRD-A29485665	CHEMBL1126540
BRD-A29485665	CHEMBL3307712
BRD-A29485665	CHEMBL409
BRD-A29485665	CHEMBL615620
BRD-A29644307	CHEMBL1134291
BRD-A29644307	CHEMBL273575
BRD-A29644307	CHEMBL629256
BRD-A29721261	CHEMBL1331678
BRD-A29721261	CHEMBL1805232
BRD-A29734509	CHEMBL1125934
BRD-A29734509	CHEMBL3134
BRD-A29734509	CHEMBL517
BRD-A29734509	CHEMBL620569
BRD-A29854054	CHEMBL24938
BRD-A29854054	CHEMBL643136
BRD-A30142024	CHEMBL3044900
BRD-A30142024	CHEMBL47903
BRD-A30142024	CHEMBL680989
BRD-A30205217	CHEMBL1095
BRD-A30205217	CHEMBL760379
BRD-A30437061	CHEMBL1136257
BRD-A30437061	CHEMBL276820
BRD-A30437061	CHEMBL621591
BRD-A30582499	CHEMBL2110703
BRD-A30590053	CHEMBL1378945
BRD-A30590053	CHEMBL1953647
BRD-A30693873	CHEMBL338667
BRD-A30693873	CHEMBL856023
BRD-A30815329	CHEMBL1480
BRD-A31007383	CHEMBL1512883
BRD-A31007383	CHEMBL2320159
BRD-A31159102	CHEMBL1130304
BRD-A31159102	CHEMBL41
BRD-A31159102	CHEMBL617168
BRD-A31195449	CHEMBL212197
BRD-A31204924	CHEMBL1670
BRD-A31204924	CHEMBL992158
BRD-A31227688	CHEMBL1443796
BRD-A31429689	CHEMBL1487352
BRD-A31429689	CHEMBL3056366
BRD-A31521121	CHEMBL1201117
BRD-A31521121	CHEMBL1272859
BRD-A31575449	CHEMBL1138300
BRD-A31575449	CHEMBL280822
BRD-A31575449	CHEMBL852480
BRD-A31800922	CHEMBL746456
BRD-A31800922	CHEMBL86715
BRD-A31946439	CHEMBL2131708
BRD-A32241587	CHEMBL1999772
BRD-A32449311	CHEMBL1734393
BRD-A32449311	CHEMBL2880192
BRD-A32582647	CHEMBL163042
BRD-A32595718	CHEMBL2087039
BRD-A32595718	CHEMBL3293739
BRD-A32917072	CHEMBL1337164
BRD-A32917072	CHEMBL1815124
BRD-A32988684	CHEMBL2111076
BRD-A33084557	CHEMBL1200438
BRD-A33084557	CHEMBL1274718
BRD-A33168282	CHEMBL1136396
BRD-A33168282	CHEMBL471
BRD-A33168282	CHEMBL620363
BRD-A33325795	CHEMBL1988256
BRD-A33447119	CHEMBL42442
BRD-A33447119	CHEMBL676590
BRD-A33711280	CHEMBL1201342
BRD-A33711280	CHEMBL1273275
BRD-A33749298	CHEMBL1228
BRD-A33749298	CHEMBL848753
BRD-A33833419	CHEMBL3545731
BRD-A34006693	CHEMBL3603749
BRD-A34006693	CHEMBL704873
BRD-A34006693	CHEMBL956
