compound_name	synonyms	species	strain	dosage	avg_lifespan_change	max_lifespan_change	gender	significance	pubmed_id	Comment	pref_name	chembl_id	pubchem_cid	DrugBank_id
Otophylloside B	NA	Caenorhabditis elegans	N2	50 µM	30	NA	NA	NA	26112394	NA	NA	NA	10079485	NA
Vinpocetine	NA	Caenorhabditis elegans	NA	33µM	15	NA	NA	NA	24134630	NA	VINPOCETINE	CHEMBL71752	443955	DB12131
3,5-dihydroxy-4Í-acetoxy-trans-stilbene	3,5-hydroxy-4Í-acetoxy-stilbene	Saccharomyces cerevisiae	PSY316AT_	10 µM	68.2	NA	NA	NA	17156081	ID's Not Found	NA	NA	NA	NA
Trehalose	NA	Caenorhabditis elegans	N2	5 mM	32	NA	NA	NA	20477758	"
"	TREHALOSE	CHEMBL1236395	7427	DB12310
Polypeptide Bovine Thymus extract	NA	Mus musculus	C3H/Sn	0.5 mg	28	11.2	Female	NA	6752596	Mix	NA	NA	NA	NA
Indirubin	NA	Drosophila melanogaster	Oregon R	3 mM	8.2	NA	NA	NA	22363408	NA	INDIRUBIN	CHEMBL1276127	5318433	DB12379
L-theanine	Theanine	Caenorhabditis elegans	N2	100 µM	14	NA	NA	NA	25643626	NA	NA	CHEMBL3039113	NA	DB12444
Propyl gallate	NA	Zaprionus paravittiger	NA	25 µg/ml	8.7	15.3	Female	NA	8950031	NA	PROPYL GALLATE	CHEMBL7983	4947	DB12450
Sodium pyruvate	Pyruvic acid	Caenorhabditis elegans	N2	2.5 mM	13.9	NA	NA	NA	21040400	NA	NA	CHEMBL181886	NA	DBSALT001546
Eliprodil	NA	Caenorhabditis elegans	NA	88 µM	16	NA	NA	NA	24134630	NA	ELIPRODIL	CHEMBL28564	60703	DB12869
D-alanine	NA	Caenorhabditis elegans	N2	10 mM	16	NA	NA	NA	25643626	NA	D-ALANINE	CHEMBL66693	71080, 7311725	DB01786
Oxatomide	NA	Caenorhabditis elegans	NA	88 µM	25	NA	NA	NA	24134630	NA	OXATOMIDE	CHEMBL13828	4615, 1385580	DB12877
1-methyl nicotinamide	NA	Caenorhabditis elegans	N2	1 µM	7.7	11	NA	NA	24077178	NA	NA	CHEMBL71733	NA	DB11710
Quinidine sulfate	NA	Caenorhabditis elegans	NA	33 µM	12	NA	NA	NA	24134630	NA	QUINIDINE SULFATE	CHEMBL3707183	656862	DBSALT000363
Pinitol	NA	Drosophila melanogaster	Canton S	NA	12.5	NA	Female	NA	22843669	NA	PINITOL	CHEMBL493737	NA	DB12969
Ferulsinaic acid	NA	Caenorhabditis elegans	N2	100 µm	20	NA	NA	NA	21749391	NA	NA	NA	102469382	NA
Inositol	NA	Caenorhabditis elegans	N2	1 mM	3	NA	NA	NA	25643626	NA	INOSITOL	CHEMBL1222251	892	DB13178, DB11196
Plumbagin	NA	Caenorhabditis elegans	N2	1 µM	1	3	NA	NS	21765926	NA	PLUMBAGIN	CHEMBL295316	10205	NA
Nordihydroguaiaretic acid	NDGA	Aedes aegypti	NA	0.001% (w/v)	42.7	NA	Female	NA	3749035	NA	NORDIHYDROGUAIARETIC ACID	CHEMBL52	4534	DB00179, DB05900
Calcium lactate	NA	Drosophila melanogaster	Oregon R	0.01 M	-10.7	NA	Male	NA	110607	NA	CALCIUM LACTATE	CHEMBL2106111	521805, 13144	DB13231
Metergoline	NA	Caenorhabditis elegans	NA	33µM	23	NA	NA	NA	24134630	NA	METERGOLINE	CHEMBL19215	28693	DB13520
3,4-dichloroisocoumarin	NA	Caenorhabditis elegans	NA	88 µM	13	NA	NA	NA	24134630	NA	NA	CHEMBL24983	NA	DB04459
Fish oil	NA	Caenorhabditis elegans	N2	2 mg/plate	-12.8	NA	NA	NA	23526170	Mix	FISH OIL	NA	NA	NA
Catechin	NA	Drosophila melanogaster	Oregon R	0.1 mg/ml	-8.5	NA	Male	NS	8326745	NA	CATECHIN	CHEMBL206452	1203	DB14086
